marker-color,marker-size,name,lon,lat
#7e7e7e,medium,FORTALEZA,-38.51806640625,-3.7327083213358336
#7e7e7e,medium,CANINDÉ,-39.320068359375,-4.3409338893275375
#7e7e7e,medium,SANTA QUITÉRIA,-40.1605224609375,-4.3245014930191905
#7e7e7e,medium,SOBRAL,-40.352783203125,-3.683373343187846
#7e7e7e,medium,VILA DE JERICOACOARA,-40.462646484375,-2.8662354211137324
#7e7e7e,medium,TIANGUÁ,-40.989990234375,-3.7217452310689536
#7e7e7e,medium,SÃO BENEDITO,-40.8746337890625,-4.045097324980062
#7e7e7e,medium,IPU,-40.704345703125,-4.3245014930191905
#7e7e7e,medium,ITAPIPOCA,-39.58374023437499,-3.46955730306146
#7e7e7e,medium,ARACATI,-37.77099609375,-4.565473550710278
#7e7e7e,medium,RUSSAS,-37.96875,-4.9486697400227
#7e7e7e,medium,QUIXERAMOBIM,-39.287109375,-5.167540507950538
#7e7e7e,medium,CRATEÚS,-40.67138671874999,-5.178482088522876
#7e7e7e,medium,MOMBAÇA,-39.627685546875,-5.725311447610142
#7e7e7e,medium,TAUÁ,-40.286865234375,-5.98760689165826
#7e7e7e,medium,PARAMBU,-40.693359375,-6.206090498573885
#7e7e7e,medium,AIUABA,-40.1220703125,-6.555474602201876
#7e7e7e,medium,ACOPIARA,-39.46289062499999,-6.0968598188879355
#7e7e7e,medium,ICÓ,-38.85864257812499,-6.369893945725818
#7e7e7e,medium,VÁRZEAS ALEGRE,-39.298095703125,-6.7737162387535
#7e7e7e,medium,CRATO,-39.407958984375,-7.220799642710931
#7e7e7e,medium,MAURITI,-38.770751953125,-7.384257828309248
#7e7e7e,medium,CAMPOS SALES,-40.36376953125,-7.079088026071719