marker-color,marker-size,marker-symbol,name,lon,lat
#7e7e7e,medium,marker,FORTALEZA,-38.51806640625,-3.7327083213358336
#7e7e7e,medium,marker,CANINDÉ,-39.320068359375,-4.3409338893275375
#7e7e7e,medium,marker,SANTA QUITÉRIA,-40.1605224609375,-4.3245014930191905
#7e7e7e,medium,marker,SOBRAL,-40.352783203125,-3.683373343187846
#7e7e7e,medium,marker,VILA DE JERICOACOARA,-40.462646484375,-2.8662354211137324
#7e7e7e,medium,marker,TIANGUÁ,-40.989990234375,-3.7217452310689536
#7e7e7e,medium,marker,SÃO BENEDITO,-40.8746337890625,-4.045097324980062
#7e7e7e,medium,marker,IPU,-40.704345703125,-4.3245014930191905
#7e7e7e,medium,marker,ITAPIPOCA,-39.58374023437499,-3.46955730306146
#7e7e7e,medium,marker,ARACATI,-37.77099609375,-4.565473550710278
#7e7e7e,medium,marker,RUSSAS,-37.96875,-4.9486697400227
#7e7e7e,medium,marker,QUIXERAMOBIM,-39.287109375,-5.167540507950538
#7e7e7e,medium,marker,CRATEÚS,-40.67138671874999,-5.178482088522876
#7e7e7e,medium,marker,MOMBAÇA,-39.627685546875,-5.725311447610142
#7e7e7e,medium,marker,TAUÁ,-40.286865234375,-5.98760689165826
#7e7e7e,medium,marker,PARAMBU,-40.693359375,-6.206090498573885
#7e7e7e,medium,marker,AIUABA,-40.1220703125,-6.555474602201876
#7e7e7e,medium,marker,ACOPIARA,-39.46289062499999,-6.0968598188879355
#7e7e7e,medium,marker,ICÓ,-38.85864257812499,-6.369893945725818
#7e7e7e,medium,marker,VÁRZEAS ALEGRE,-39.298095703125,-6.7737162387535
#7e7e7e,medium,marker,CRATO,-39.407958984375,-7.220799642710931
#7e7e7e,medium,marker,MAURITI,-38.770751953125,-7.384257828309248
#7e7e7e,medium,marker,CAMPOS SALES,-40.36376953125,-7.079088026071719